title
50. Trivento Amado Sur 2016 ($14)
49. Château Rieussec R de Rieussec Blanc Sec 2018 ($25)
48. Peter Zemmer ‘Rollhutt’ Pinot Noir 2017 ($19)
47. LAN Gran Reserva Rioja 2010 ($23)
46. Felsina Berardenga Chianti Classico DOCG 2016 ($24)
45. Domaine Bousquet Brut Rosé NV ($10)
44. Freemark Abbey Napa Valley Cabernet Sauvignon 2015 ($44)
43. Sokol Blosser Evolution White Blend NV ($15)
42. Gustave Lorentz Crémant d’Alsace Brut Rosé ($24)
41. Cantina Tramin Kellerei ‘Stoan’ 2017 ($33)
40. Niner Wine Estates Cabernet Sauvignon 2016 ($35)
39. Bodegas Nekeas ‘El Chaparral de Vega Sindoa’ Old Vine Garnacha 2018 ($26)
38. Jean Reverdy et Fils Sancerre ‘La Reine Blanche’ 2018 ($21)
37. Markham Vineyards Napa Valley Merlot 2014 ($21)
36. Domaine Matrot Meursault 2017 ($99)
35. Torbreck Barossa Valley Woodcutter’s Shiraz 2017 ($23)
34. Viña Garces Silva Amayna Sauvignon Blanc 2018 ($25)
33. Remhoogte Reserve ‘Honeybunch’ Chenin Blanc 2017 ($25)
32. Domaine Le Tour Vieille Banyuls Reserva NV ($24)
31. Marco Felluga Molamatta Collio Bianco 2015 ($24)
30. Bodegas Agro de Bazán Granbazán Etiqueta Verde 2018 ($19)
29. Tommasi Amarone della Valpolicella Classico DOCG 2015 ($65)
28. Craggy Range Winery Te Muna Road Vineyard Pinot Noir 2016 ($27)
27. Inama Vigneti di Foscarino Soave Classico 2017 ($24)
26. Domaine Karydas Naoussa Xinomavro 2015 ($30)
25. Rusack Vineyards Santa Barbara County Chardonnay 2017 ($29)
24. Nalle Winery Dry Creek Valley Estate Old Vine Zinfandel 2015 ($45)
23. Domaine Matrot Auxey-Duresses Côte de Beaune 2016 ($40)
22. Tenute Cisa Asinari Marchesi di Gresy Martinenga ‘La Serra’ Moscato d’Asti NV ($18)
21. Gruet Blanc de Noirs NV ($16)
20. Familia Zuccardi ‘Aluvional’ Paraje Altamira 2014 ($89)
19. Domaine Sigalas Santorini Assyrtiko 2018 ($32)
18. Château Batailley Grand Cru Classé 2015 ($81)
17. Bodegas Avancia ‘Cuvee de O’ Mencia 2017 ($16)
16. Angela Estate ‘Abbott Claim’ Pinot Noir 2015 ($57)
15. Clos Du Val Three Graces 2016 ($180)
14. Ravines Wine Cellars Cabernet Franc 2017 ($21)
13. Elvio Cogno ‘Anas-C
etta’ Langhe Nascetta di Novello 2016 ($30)
12. Copain ‘Les Voisins’ Syrah Yorkville Highlands 2015 ($34)
11. Laurent-Perrier ‘Grand Siècle’ No. 24 ($140)
10. Jermann Pinot Grigio Venezia Giulia IGT 2017 ($23)
9. Long Meadow Ranch Napa Valley Merlot 2014 ($36)
8. Graci Etna Rosato 2018 ($21)
7. Château Fonplégade Saint-Emilion Grand Cru Classé 2012 ($46)
6. Ridgeview Cavendish Brut NV ($43)
5. G.D. Vajra Langhe Nebbiolo 2017 ($22)
4. Barboursville Vineyards Reserve Viognier 2017 ($22)
3. Mastroberardino ‘Radici’ Taurasi DOCG 2014 ($54)
2. Comando G ‘La Bruja de Rozas’ Sierra de Gredos 2017 ($25)
1. Chateau Montelena Napa Valley Chardonnay 2016 ($50)
